foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
DF_SN3, N, 40.000000, 62.170738, 3.843899, 1.634060, 1.750161, 0.002822, 1.569227, 0.003165
DF_SN3, N, 50.000000, 62.170738, 3.843899, 1.316278, 1.413746, 0.001773, 1.604737, 0.002399
DF_SN4, Ar, 10.000000, 91.779900, 4.711966, 8.626897, 8.726433, 0.010770, 1.065857, 0.003103
DF_SN4, Ar, 20.000000, 91.779900, 4.711966, 4.407574, 4.446326, 0.003995, 1.049858, 0.001290
DF_SN4, Ar, 30.000000, 91.779900, 4.711966, 3.074432, 3.150780, 0.002140, 1.148611, 0.000914
DF_SN4, Ar, 40.000000, 91.779900, 4.711966, 2.378637, 2.471299, 0.001724, 1.251651, 0.000970
DF_SN4, Ar, 50.000000, 91.779900, 4.711966, 1.951683, 2.048295, 0.001408, 1.341327, 0.000999
DF_SN4, H, 2.000000, 10.855988, 0.834311, 4.695966, 4.980404, 0.007779, 1.449561, 0.004106
DF_SN4, H, 3.000000, 10.855988, 0.834311, 3.325653, 3.582646, 0.004763, 1.649612, 0.003575
DF_SN4, H, 4.000000, 10.855988, 0.834311, 2.586098, 2.803170, 0.003885, 1.745097, 0.003715
DF_SN4, H, 5.000000, 10.855988, 0.834311, 2.117229, 2.295821, 0.002015, 1.751649, 0.002271
DF_SN4, H, 10.000000, 10.855988, 0.834311, 1.117034, 1.218158, 0.001512, 1.850974, 0.003298
DF_SN4, H, 15.000000, 10.855988, 0.834311, 0.760005, 0.828329, 0.001569, 1.840337, 0.004842
DF_SN4, H, 20.000000, 10.855988, 0.834311, 0.627749, 0.683867, 0.001601, 1.830878, 0.006622
DF_SN4, He, 10.000000, 19.121656, 0.981186, 1.807862, 1.941771, 0.003554, 1.605773, 0.003674
DF_SN4, He, 20.000000, 19.121656, 0.981186, 0.967154, 1.047259, 0.002334, 1.728518, 0.004867
DF_SN4, He, 30.000000, 19.121656, 0.981186, 0.666445, 0.722848, 0.002614, 1.755172, 0.008499
DF_SN4, N, 10.000000, 49.049072, 2.930537, 4.514900, 4.742925, 0.004382, 1.350342, 0.002279
DF_SN4, N, 20.000000, 49.049072, 2.930537, 2.369417, 2.513247, 0.002136, 1.450868, 0.001580
DF_SN4, N, 30.000000, 49.049072, 2.930537, 1.659635, 1.772891, 0.002631, 1.534608, 0.002608
DF_SN4, N, 40.000000, 49.049072, 2.930537, 1.265550, 1.352697, 0.002696, 1.542102, 0.003455
DF_SN4, N, 50.000000, 49.049072, 2.930537, 1.052912, 1.125510, 0.001402, 1.543148, 0.002134
DF_SN5, Ar, 10.000000, 118.457840, 8.070386, 10.998846, 11.266821, 0.010508, 1.149339, 0.003642
DF_SN5, Ar, 20.000000, 118.457840, 8.070386, 5.593624, 5.643061, 0.005203, 1.050117, 0.001563
DF_SN5, Ar, 30.000000, 118.457840, 8.070386, 3.930642, 4.036001, 0.003287, 1.161762, 0.001335
DF_SN5, Ar, 40.000000, 118.457840, 8.070386, 3.118483, 3.240991, 0.002252, 1.254489, 0.001160
DF_SN5, Ar, 50.000000, 118.457840, 8.070386, 2.577456, 2.710016, 0.002082, 1.359185, 0.001348
DF_SN5, H, 1.000000, 12.912167, 0.911783, 12.692963, 13.539520, 0.024406, 1.526712, 0.014664
DF_SN5, H, 2.000000, 12.912167, 0.911783, 5.730492, 6.064464, 0.006809, 1.423591, 0.003307
DF_SN5, H, 3.000000, 12.912167, 0.911783, 4.092959, 4.435048, 0.005142, 1.739549, 0.003858
DF_SN5, H, 4.000000, 12.912167, 0.911783, 3.173185, 3.459922, 0.005026, 1.848344, 0.004737
DF_SN5, H, 5.000000, 12.912167, 0.911783, 2.616195, 2.857532, 0.002314, 1.878675, 0.002662
DF_SN5, H, 10.000000, 12.912167, 0.911783, 1.435620, 1.574890, 0.001486, 1.968777, 0.003000
DF_SN5, H, 15.000000, 12.912167, 0.911783, 0.930888, 1.015932, 0.001848, 1.865581, 0.004707
DF_SN5, H, 20.000000, 12.912167, 0.911783, 0.649823, 0.706550, 0.001654, 1.795553, 0.005073
DF_SN5, He, 10.000000, 25.317638, 1.077549, 2.410556, 2.628296, 0.005976, 1.847889, 0.006899
DF_SN5, He, 20.000000, 25.317638, 1.077549, 1.294046, 1.410904, 0.003284, 1.847307, 0.006227
DF_SN5, He, 30.000000, 25.317638, 1.077549, 0.867065, 0.945543, 0.001897, 1.850742, 0.004992
DF_SN5, N, 10.000000, 63.736214, 7.367119, 5.549158, 5.845325, 0.003906, 1.378414, 0.001955
DF_SN5, N, 20.000000, 63.736214, 7.367119, 2.936945, 3.119092, 0.003588, 1.464574, 0.002451
DF_SN5, N, 30.000000, 63.736214, 7.367119, 2.122225, 2.270181, 0.003162, 1.552918, 0.002918
DF_SN5, N, 40.000000, 63.736214, 7.367119, 1.711021, 1.843490, 0.003664, 1.651513, 0.004357
DF_SN5, N, 50.000000, 63.736214, 7.367119, 1.481087, 1.605340, 0.002245, 1.744358, 0.003256
01SN4, H, 5.000000, 16.547403, 0.354230, 3.210887, 3.501087, 0.004737, 1.848663, 0.004553
01SN4, H, 10.000000, 16.547403, 0.354230, 1.674685, 1.835070, 0.002265, 1.944796, 0.003799
01SN4, H, 15.000000, 16.547403, 0.354230, 1.103688, 1.206955, 0.001423, 1.901473, 0.003392
01SN4, H, 20.000000, 16.547403, 0.354230, 0.842217, 0.920776, 0.000981, 1.897766, 0.003062
03SN4, H, 5.000000, 16.501705, 0.378905, 3.194662, 3.483344, 0.004707, 1.848373, 0.004528
03SN4, H, 10.000000, 16.501705, 0.378905, 1.668668, 1.828415, 0.002254, 1.944084, 0.003798
03SN4, H, 15.000000, 16.501705, 0.378905, 1.101760, 1.204860, 0.001418, 1.901682, 0.003414
03SN4, H, 20.000000, 16.501705, 0.378905, 0.841670, 0.920268, 0.000980, 1.899663, 0.003094
